"genre_macro_12","n","porcentaje","etiqueta"
"ambient_instrumental",3804,17.1305052688463,"ambient_instrumental
17.1%"
"electronica",3100,13.9601909393858,"electronica
14%"
"pop",2228,10.0333243267585,"pop
10%"
"metal_punk",2157,9.7135909213726,"metal_punk
9.7%"
"indie",1852,8.34008826443304,"indie
8.3%"
"hiphop_rap",1826,8.22300279203819,"hiphop_rap
8.2%"
"jazz_blues_reggae",1795,8.08340088264433,"jazz_blues_reggae
8.1%"
"rock",1690,7.61055570566514,"rock
7.6%"
"folk_country_singer",1615,7.27280915068,"folk_country_singer
7.3%"
"clasica_orquestal",1030,4.63838602179591,"clasica_orquestal
4.6%"
"latin_global",638,2.87309736107358,"latin_global
2.9%"
"rnb_soul",471,2.12104836530667,"rnb_soul
2.1%"
