"nivel_demanda_digital","career_span","years_since_last_release","num_releases","log_tracks_last_release","genre_macro_12"
"demanda_media",6,1,17,0.301029995663981,"rock"
"demanda_media",1,0,20,0.301029995663981,"ambient_instrumental"
"demanda_media",2,0,20,0.602059991327962,"hiphop_rap"
"demanda_alta",4,0,20,0.301029995663981,"pop"
"demanda_media",21,4,13,0.301029995663981,"metal_punk"
"demanda_alta",26,1,11,0.602059991327962,"pop"
"demanda_media",7,0,20,0.477121254719662,"electronica"
"demanda_alta",4,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",10,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",2,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",8,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",3,1,20,0.602059991327962,"hiphop_rap"
"demanda_media",5,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",4,0,20,0.301029995663981,"pop"
"demanda_alta",13,0,20,0.477121254719662,"pop"
"demanda_media",7,0,20,0.301029995663981,"clasica_orquestal"
"demanda_media",4,1,13,0.301029995663981,"ambient_instrumental"
"demanda_media",6,1,17,0.778151250383644,"indie"
"demanda_media",3,0,20,0.301029995663981,"pop"
"demanda_media",7,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",3,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",6,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",29,1,20,0.845098040014257,"electronica"
"demanda_alta",13,1,20,1.20411998265592,"hiphop_rap"
"demanda_media",2,0,14,0.301029995663981,"electronica"
"demanda_media",4,0,16,0.845098040014257,"hiphop_rap"
"demanda_alta",8,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",2,0,20,0.301029995663981,"ambient_instrumental"
"demanda_media",5,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",5,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",5,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",2,0,7,0.301029995663981,"hiphop_rap"
"demanda_media",3,0,13,0.301029995663981,"electronica"
"demanda_media",4,0,14,0.301029995663981,"hiphop_rap"
"demanda_alta",32,1,20,0.301029995663981,"hiphop_rap"
"demanda_media",1,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",30,1,20,0.301029995663981,"rock"
"demanda_media",4,0,20,0.477121254719662,"hiphop_rap"
"demanda_media",1,4,3,0.778151250383644,"hiphop_rap"
"demanda_media",46,1,12,1,"rock"
"demanda_media",9,1,20,0.301029995663981,"rock"
"demanda_media",2,0,20,0.301029995663981,"metal_punk"
"demanda_media",2,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",4,0,18,0.301029995663981,"ambient_instrumental"
"demanda_alta",5,0,20,0.301029995663981,"hiphop_rap"
"demanda_baja",2,1,7,0.778151250383644,"ambient_instrumental"
"demanda_media",9,1,15,0.301029995663981,"folk_country_singer"
"demanda_media",4,0,20,0.301029995663981,"electronica"
"demanda_media",4,0,20,0.301029995663981,"rnb_soul"
"demanda_baja",1,2,2,0.301029995663981,"ambient_instrumental"
"demanda_alta",10,0,20,0.301029995663981,"pop"
"demanda_alta",19,2,20,0.301029995663981,"hiphop_rap"
"demanda_media",26,0,20,0.301029995663981,"electronica"
"demanda_alta",8,0,20,0.301029995663981,"hiphop_rap"
"demanda_baja",3,0,15,0.602059991327962,"pop"
"demanda_baja",5,4,5,0.301029995663981,"ambient_instrumental"
"demanda_media",4,0,20,0.301029995663981,"jazz_blues_reggae"
"demanda_media",1,0,20,0.301029995663981,"electronica"
"demanda_media",2,1,20,0.778151250383644,"jazz_blues_reggae"
"demanda_alta",6,0,20,0.301029995663981,"rnb_soul"
"demanda_media",4,0,20,0.301029995663981,"electronica"
"demanda_media",5,0,20,0.301029995663981,"electronica"
"demanda_media",26,1,6,0.301029995663981,"ambient_instrumental"
"demanda_media",7,0,12,0.778151250383644,"folk_country_singer"
"demanda_media",25,1,20,0.301029995663981,"ambient_instrumental"
"demanda_media",4,4,11,0.602059991327962,"electronica"
"demanda_media",12,0,20,1.11394335230684,"hiphop_rap"
"demanda_media",6,0,15,0.301029995663981,"indie"
"demanda_alta",8,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",9,1,20,0.301029995663981,"indie"
"demanda_alta",26,8,11,0.602059991327962,"hiphop_rap"
"demanda_alta",37,2,20,0.477121254719662,"indie"
"demanda_alta",10,0,20,0.602059991327962,"electronica"
"demanda_alta",1,0,20,0.903089986991944,"ambient_instrumental"
"demanda_media",5,20,20,0.845098040014257,"pop"
"demanda_alta",10,1,20,0.301029995663981,"hiphop_rap"
"demanda_alta",13,0,20,0.602059991327962,"hiphop_rap"
"demanda_media",13,1,11,0.301029995663981,"ambient_instrumental"
"demanda_media",3,0,20,0.301029995663981,"hiphop_rap"
"demanda_alta",2,0,20,0.477121254719662,"pop"
"demanda_media",5,0,20,0.477121254719662,"hiphop_rap"
"demanda_media",7,0,11,0.301029995663981,"ambient_instrumental"
"demanda_alta",7,0,8,0.477121254719662,"ambient_instrumental"
"demanda_alta",6,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",2,1,7,0.301029995663981,"folk_country_singer"
"demanda_media",57,1,20,0.301029995663981,"ambient_instrumental"
"demanda_media",2,0,2,0.301029995663981,"rock"
"demanda_media",4,0,20,0.301029995663981,"ambient_instrumental"
"demanda_media",12,1,18,0.301029995663981,"hiphop_rap"
"demanda_media",5,0,20,0.301029995663981,"pop"
"demanda_alta",51,0,18,0.477121254719662,"pop"
"demanda_media",3,0,10,0.301029995663981,"folk_country_singer"
"demanda_media",5,0,20,0.477121254719662,"ambient_instrumental"
"demanda_media",6,0,20,0.301029995663981,"folk_country_singer"
"demanda_media",1,1,5,0.301029995663981,"jazz_blues_reggae"
"demanda_media",2,1,6,0.301029995663981,"ambient_instrumental"
"demanda_media",9,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",3,0,20,0.301029995663981,"pop"
"demanda_media",23,0,20,0.301029995663981,"metal_punk"
"demanda_media",18,0,20,1.14612803567824,"electronica"
"demanda_media",4,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",4,1,14,0.301029995663981,"indie"
"demanda_media",7,0,20,0.301029995663981,"electronica"
"demanda_alta",44,4,20,1,"rock"
"demanda_media",3,0,20,0.301029995663981,"electronica"
"demanda_alta",31,1,20,0.602059991327962,"indie"
"demanda_media",10,0,20,0.477121254719662,"electronica"
"demanda_media",11,1,20,0.301029995663981,"electronica"
"demanda_media",9,0,19,0.698970004336019,"indie"
"demanda_media",6,1,20,0.477121254719662,"pop"
"demanda_alta",5,0,20,0.301029995663981,"electronica"
"demanda_media",7,0,20,0.301029995663981,"ambient_instrumental"
"demanda_media",12,1,20,0.301029995663981,"hiphop_rap"
"demanda_media",14,0,20,0.602059991327962,"electronica"
"demanda_media",13,0,20,0.301029995663981,"ambient_instrumental"
"demanda_media",3,0,20,0.301029995663981,"hiphop_rap"
"demanda_media",22,0,20,0.477121254719662,"electronica"
