Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.675,0.8256,0.675,0.6869,0.6795,0.4431,0.4442,0.948
Gradient Boosting Classifier,0.6659,0.0,0.6659,0.6911,0.6744,0.4388,0.4419,0.804
Random Forest Classifier,0.6598,0.7918,0.6598,0.6645,0.6611,0.4108,0.4116,0.354
Ada Boost Classifier,0.648,0.0,0.648,0.6795,0.6568,0.415,0.4203,0.136
K Neighbors Classifier,0.6422,0.7769,0.6422,0.6592,0.6489,0.3906,0.3919,0.718
Extra Trees Classifier,0.6419,0.7665,0.6419,0.6493,0.6442,0.3827,0.3837,0.32
Logistic Regression,0.6195,0.0,0.6195,0.6786,0.6331,0.3892,0.4023,0.742
Linear Discriminant Analysis,0.6147,0.0,0.6147,0.6766,0.6292,0.3829,0.3965,0.068
Decision Tree Classifier,0.6054,0.6839,0.6054,0.6202,0.6115,0.3272,0.328,0.67
Ridge Classifier,0.599,0.0,0.599,0.6756,0.6049,0.3658,0.3898,0.074
SVM - Linear Kernel,0.579,0.0,0.579,0.6621,0.5648,0.3355,0.3697,0.116
Quadratic Discriminant Analysis,0.5241,0.0,0.5241,0.6239,0.5238,0.282,0.317,0.072
Naive Bayes,0.5205,0.7308,0.5205,0.6189,0.5189,0.2774,0.3125,0.108
Dummy Classifier,0.0873,0.5,0.0873,0.0076,0.014,0.0,0.0,0.058
