"row_id","nivel_demanda_digital","career_span","years_since_last_release","num_releases","releases_cap20","log_tracks_last_release","genres_raw_original","genres_raw_clean","genres_ollama_input","sin_genero"
1,"demanda_media",6,1,17,0,0.301029995663981,"latinx alternative","latinx alternative","Music genres: latinx alternative",0
2,"demanda_media",1,0,20,1,0.301029995663981,"ambient lo-fi","ambient lo-fi","Music genres: ambient lo-fi",0
3,"demanda_media",2,0,20,1,0.602059991327962," hip hop ","hip hop","Music genres: hip hop",0
4,"demanda_alta",4,0,20,1,0.301029995663981,"k-pop girl group","k-pop girl group","Music genres: k-pop girl group",0
5,"demanda_media",21,4,13,0,0.301029995663981,"modern ska punk, ska, ska punk","modern ska punk, ska, ska punk","Music genres: modern ska punk, ska, ska punk",0
6,"demanda_alta",26,1,11,0,0.602059991327962,"boy band, dance pop, pop","boy band, dance pop, pop","Music genres: boy band, dance pop, pop",0
7,"demanda_media",7,0,20,1,0.477121254719662,"deep disco house, melodic house","deep disco house, melodic house","Music genres: deep disco house, melodic house",0
8,"demanda_alta",4,0,20,1,0.301029995663981,"cloud rap, florida rap, underground hip hop","cloud rap, florida rap, underground hip hop","Music genres: cloud rap, florida rap, underground hip hop",0
9,"demanda_alta",10,0,20,1,0.301029995663981,"cloud rap, dark trap, new orleans rap, underground hip hop","cloud rap, dark trap, new orleans rap, underground hip hop","Music genres: cloud rap, dark trap, new orleans rap, underground hip hop",0
10,"demanda_media",2,0,20,1,0.301029995663981,"swedish hip hop, swedish trap pop","swedish hip hop, swedish trap pop","Music genres: swedish hip hop, swedish trap pop",0
11,"demanda_media",8,0,20,1,0.301029995663981,"cali rap, melodic rap","cali rap, melodic rap","Music genres: cali rap, melodic rap",0
12,"demanda_alta",3,1,20,1,0.602059991327962,"new jersey rap","new jersey rap","Music genres: new jersey rap",0
13,"demanda_media",5,0,20,1,0.301029995663981,"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop","swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop","Music genres: swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",0
14,"demanda_media",4,0,20,1,0.301029995663981,"irish pop","irish pop","Music genres: irish pop",0
15,"demanda_alta",13,0,20,1,0.477121254719662,"korean pop","korean pop","Music genres: korean pop",0
16,"demanda_media",7,0,20,1,0.301029995663981,"string orchestra","string orchestra","Music genres: string orchestra",0
17,"demanda_media",4,1,13,0,0.301029995663981," ambient ","ambient","Music genres: ambient",0
18,"demanda_media",6,1,17,0,0.778151250383644,"k-indie","k-indie","Music genres: k-indie",0
19,"demanda_media",3,0,20,1,0.301029995663981,"afrobeats, nigerian pop","afrobeats, nigerian pop","Music genres: afrobeats, nigerian pop",0
20,"demanda_media",7,0,20,1,0.301029995663981,"christian hip hop, christian trap","christian hip hop, christian trap","Music genres: christian hip hop, christian trap",0
21,"demanda_alta",3,0,20,1,0.301029995663981,"aesthetic rap","aesthetic rap","Music genres: aesthetic rap",0
22,"demanda_media",6,0,20,1,0.301029995663981,"cali rap, westcoast flow","cali rap, westcoast flow","Music genres: cali rap, westcoast flow",0
23,"demanda_media",29,1,20,1,0.845098040014257,"eurodance, hip house","eurodance, hip house","Music genres: eurodance, hip house",0
24,"demanda_alta",13,1,20,1,1.20411998265592,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","Music genres: atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",0
25,"demanda_media",2,0,14,0,0.301029995663981,"hypertechno","hypertechno","Music genres: hypertechno",0
26,"demanda_media",4,0,16,0,0.845098040014257,"atl trap","atl trap","Music genres: atl trap",0
27,"demanda_alta",8,0,20,1,0.301029995663981,"atl hip hop, hip hop, rap","atl hip hop, hip hop, rap","Music genres: atl hip hop, hip hop, rap",0
28,"demanda_media",2,0,20,1,0.301029995663981,"uk dance","uk dance","Music genres: uk dance",0
29,"demanda_media",5,0,20,1,0.301029995663981,"brooklyn drill, nyc rap","brooklyn drill, nyc rap","Music genres: brooklyn drill, nyc rap",0
30,"demanda_media",5,0,20,1,0.301029995663981,"cali rap","cali rap","Music genres: cali rap",0
31,"demanda_alta",5,0,20,1,0.301029995663981,"cali rap, pop rap","cali rap, pop rap","Music genres: cali rap, pop rap",0
32,"demanda_media",2,0,7,0,0.301029995663981,"swedish hip hop, swedish trap pop","swedish hip hop, swedish trap pop","Music genres: swedish hip hop, swedish trap pop",0
33,"demanda_media",3,0,13,0,0.301029995663981,"glitchcore, hyperpop","glitchcore, hyperpop","Music genres: glitchcore, hyperpop",0
34,"demanda_media",4,0,14,0,0.301029995663981,"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap pop","swedish drill, swedish gangsta rap, swedish hip hop, swedish trap pop","Music genres: swedish drill, swedish gangsta rap, swedish hip hop, swedish trap pop",0
35,"demanda_alta",32,1,20,1,0.301029995663981,"g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hip hop, rap, west coast rap","Music genres: g funk, gangster rap, hip hop, rap, west coast rap",0
36,"demanda_media",1,0,20,1,0.301029995663981,"philly drill, philly rap","philly drill, philly rap","Music genres: philly drill, philly rap",0
37,"demanda_alta",30,1,20,1,0.301029995663981,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion","alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion","Music genres: alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",0
38,"demanda_media",4,0,20,1,0.477121254719662,"christian hip hop, christian trap","christian hip hop, christian trap","Music genres: christian hip hop, christian trap",0
39,"demanda_media",1,4,3,0,0.778151250383644,"k-rap, korean trap, korean underground rap","k-rap, korean trap, korean underground rap","Music genres: k-rap, korean trap, korean underground rap",0
40,"demanda_media",46,1,12,0,1,"album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock","album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock","Music genres: album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock",0
41,"demanda_media",9,1,20,1,0.301029995663981,"industrial metal, industrial rock","industrial metal, industrial rock","Music genres: industrial metal, industrial rock",0
42,"demanda_media",2,0,20,1,0.301029995663981,"pop punk","pop punk","Music genres: pop punk",0
43,"demanda_media",2,0,20,1,0.301029995663981," rap ","rap","Music genres: rap",0
44,"demanda_alta",4,0,18,0,0.301029995663981,"new york drill","new york drill","Music genres: new york drill",0
45,"demanda_alta",5,0,20,1,0.301029995663981,"detroit trap, southern hip hop, trap","detroit trap, southern hip hop, trap","Music genres: detroit trap, southern hip hop, trap",0
46,"demanda_baja",2,1,7,0,0.778151250383644,"korean drill","korean drill","Music genres: korean drill",0
47,"demanda_media",9,1,15,0,0.301029995663981,"modern country pop","modern country pop","Music genres: modern country pop",0
48,"demanda_media",4,0,20,1,0.301029995663981,"brostep, electro house, electronic trap","brostep, electro house, electronic trap","Music genres: brostep, electro house, electronic trap",0
49,"demanda_media",4,0,20,1,0.301029995663981,"korean r&b","korean r&b","Music genres: korean r&b",0
50,"demanda_baja",1,2,2,0,0.301029995663981,"study beats","study beats","Music genres: study beats",0
51,"demanda_alta",10,0,20,1,0.301029995663981,"boy band, pop","boy band, pop","Music genres: boy band, pop",0
52,"demanda_alta",19,2,20,1,0.301029995663981,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","Music genres: east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",0
53,"demanda_media",26,0,20,1,0.301029995663981,"eurodance, german techno","eurodance, german techno","Music genres: eurodance, german techno",0
54,"demanda_alta",8,0,20,1,0.301029995663981,"atl hip hop, melodic rap, r&b, rap, trap","atl hip hop, melodic rap, r&b, rap, trap","Music genres: atl hip hop, melodic rap, r&b, rap, trap",0
55,"demanda_baja",3,0,15,0,0.602059991327962," pop ","pop","Music genres: pop",0
56,"demanda_baja",5,4,5,0,0.301029995663981," traditional ","traditional","Music genres: traditional",0
57,"demanda_media",4,0,20,1,0.301029995663981,"lo-fi jazzhop","lo-fi jazzhop","Music genres: lo-fi jazzhop",0
58,"demanda_media",1,0,20,1,0.301029995663981,"gym phonk","gym phonk","Music genres: gym phonk",0
59,"demanda_media",2,1,20,1,0.778151250383644,"rebel blues","rebel blues","Music genres: rebel blues",0
60,"demanda_alta",6,0,20,1,0.301029995663981,"bedroom r&b","bedroom r&b","Music genres: bedroom r&b",0
61,"demanda_media",4,0,20,1,0.301029995663981,"glitchcore, hyperpop","glitchcore, hyperpop","Music genres: glitchcore, hyperpop",0
62,"demanda_media",5,0,20,1,0.301029995663981,"melodic house, ukrainian electronic","melodic house, ukrainian electronic","Music genres: melodic house, ukrainian electronic",0
63,"demanda_media",26,1,6,0,0.301029995663981,"boy band","boy band","Music genres: boy band",0
64,"demanda_media",7,0,12,0,0.778151250383644,"chill pop, korean indie folk","chill pop, korean indie folk","Music genres: chill pop, korean indie folk",0
