variable,importancia
num__num_releases,0.4901229329034388
num__years_since_last_release,0.1650243422294173
num__career_span,0.12911392101699845
num__log_tracks_last_release,0.06062580235409465
cat__genre_macro_12_ambient_instrumental,0.028391322161189128
cat__genre_macro_12_metal_punk,0.024059132123287804
cat__genre_macro_12_rock,0.020836662430936792
cat__genre_macro_12_clasica_orquestal,0.016518414491679317
cat__genre_macro_12_pop,0.015539710230632916
cat__genre_macro_12_hiphop_rap,0.013184426746104502
cat__genre_macro_12_electronica,0.012877513685838643
cat__genre_macro_12_rnb_soul,0.007630063857424576
cat__genre_macro_12_jazz_blues_reggae,0.005623930612958608
cat__genre_macro_12_indie,0.004511052590306321
cat__genre_macro_12_folk_country_singer,0.0039606239564288544
cat__genre_macro_12_latin_global,0.0019801486092633444
